x_next,nearest_anchor,dist_to_nearest_anchor,nearest_anchor_radius,escaped_nearest_ball
"[-1.3280831575393677, 0.052249327301979065]",57,1.1101365089416504e-06,-0.0005584884202107787,True
"[-1.3280819654464722, 0.05227174982428551]",58,1.7166170437121764e-05,-0.0008842028910294175,True
"[-1.3280681371688843, 0.05233341455459595]",60,6.319620297290385e-05,-0.0008446895517408848,True
"[-1.3280831575393677, 0.05224284157156944]",59,6.485730409622192e-06,-0.0007535033510066569,True
"[-1.328066349029541, 0.05221130698919296]",62,3.573451976990327e-05,-0.0007428008830174804,True
"[-1.3280830383300781, 0.05225466191768646]",58,4.470348358154297e-08,-0.0008842028910294175,True
"[-1.3282912969589233, 0.05229027569293976]",60,0.00021014967933297157,-0.0008446895517408848,True
"[-1.3282866477966309, 0.05227304622530937]",65,1.784570667950902e-05,-5.7387337619729806e-06,True
"[-1.3282839059829712, 0.05218895524740219]",66,8.41356668388471e-05,-2.7474015951156616e-06,True
"[-1.3282780647277832, 0.05222814902663231]",67,3.962666596635245e-05,-0.0003014306421391666,True
"[-1.3283289670944214, 0.052226513624191284]",68,5.092862920719199e-05,5.093075378681533e-05,False
"[-1.3283289670944214, 0.05222782492637634]",69,1.3113021850585938e-06,-0.0006498582661151886,True
"[-1.3283289670944214, 0.0522276908159256]",70,1.341104507446289e-07,-0.00023654063988942653,True
"[-1.328328251838684, 0.052226774394512177]",69,7.613093657710124e-07,-0.0006498582661151886,True
"[-1.3283289670944214, 0.05222668871283531]",69,1.7508864402770996e-07,-0.0006498582661151886,True
"[-1.3284695148468018, 0.05222596973180771]",69,0.00014054881467018276,-0.0006498582661151886,True
"[-1.3284679651260376, 0.05220557749271393]",74,2.045103974523954e-05,-0.00018092348182108253,True
"[-1.3285406827926636, 0.05218476057052612]",75,7.563863618997857e-05,8.094593795249239e-05,False
"[-1.3285481929779053, 0.05221639201045036]",76,3.251077941968106e-05,-0.00023817965120542794,True
"[-1.328548789024353, 0.052210237830877304]",77,6.182976449053967e-06,-0.0007931431173346937,True
"[-1.3285489082336426, 0.05220680311322212]",78,3.4367858461337164e-06,-0.0010759510332718492,True
"[-1.3285454511642456, 0.052215978503227234]",77,2.772819925667136e-06,-0.0007931431173346937,True
"[-1.3285472393035889, 0.0522138848900795]",77,2.682377271412406e-06,-0.0007931431173346937,True
"[-1.3285483121871948, 0.052195705473423004]",79,1.1113635082438122e-05,-0.00015808605530764908,True
"[-1.3285441398620605, 0.05223311111330986]",80,1.7182719602715224e-05,-0.000427276361733675,True
"[-1.328600525856018, 0.05223619192838669]",77,5.595325637841597e-05,-0.0007931431173346937,True
"[-1.3287169933319092, 0.0522267110645771]",84,0.00011685273057082668,0.00013054888404440135,False
"[-1.3287296295166016, 0.05225542560219765]",85,3.137192834401503e-05,-0.0002546404139138758,True
"[-1.3287310600280762, 0.05223813280463219]",86,1.735186560836155e-05,-0.00021294568432494998,True
"[-1.3287237882614136, 0.05227931961417198]",86,2.4597644369350746e-05,-0.00021294568432494998,True
"[-1.328730583190918, 0.05224724858999252]",86,8.232436812249944e-06,-0.00021294568432494998,True
"[-1.3287289142608643, 0.05225985497236252]",86,4.486748366616666e-06,-0.00021294568432494998,True
"[-1.3287291526794434, 0.05221353471279144]",85,1.7929471141542308e-05,-0.0002546404139138758,True
"[-1.3287296295166016, 0.0522557757794857]",86,3.501772880554199e-07,-0.00021294568432494998,True
"[-1.3288317918777466, 0.05227876454591751]",90,0.00010460102930665016,-0.0003296230861451477,True
"[-1.3288273811340332, 0.05229327827692032]",93,1.5169147445703857e-05,-0.00038736293208785355,True
"[-1.3288315534591675, 0.05223175138235092]",93,4.701376747107133e-05,-0.00038736293208785355,True
