function,E,lipschitz_factor,kernel,local_std_label,local_std_value,seed,init_x,safety_violations,no_opt_possible,final_pred_opt,avg_pred_opt,true_optimum,ratio,n_observations,setting,L_base,L_source,violation_class
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,4,"[0.2385544776916504, 1.2363696098327637]",0,False,0.9982950687408447,0.8699810735640987,1.0,0.9982950687408447,31,old_L_factored,5.0,old,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,0,"[0.5292251110076904, 0.39557385444641113]",0,False,0.9872702956199646,0.9950828283063827,1.0,0.9872702956199646,31,new_L_factored,13.763089123529726,new,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,1,"[1.0305263996124268, 0.11724352836608887]",0,False,0.9505720138549805,0.8610598944848583,1.0,0.9505720138549805,31,new_L_factored,13.763089123529726,new,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,2,"[0.45878028869628906, 0.5240514278411865]",0,False,0.9970857501029968,0.9864675614141649,1.0,0.9970857501029968,31,new_L_factored,13.763089123529726,new,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,3,"[1.08746337890625, 1.9747974872589111]",0,False,0.9978240728378296,0.9157553468981097,1.0,0.9978240728378296,31,new_L_factored,13.763089123529726,new,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,4,"[0.2385544776916504, 1.2363696098327637]",0,False,0.7360171675682068,0.6449235735401031,1.0,0.7360171675682068,31,new_L_factored,13.763089123529726,new,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,0,"[0.5292251110076904, 0.39557385444641113]",0,False,0.988983154296875,0.989654790970587,1.0,0.988983154296875,31,old_L_raw,5.0,old,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,1,"[1.0305263996124268, 0.11724352836608887]",0,False,0.993991494178772,0.9511423783917581,1.0,0.993991494178772,31,old_L_raw,5.0,old,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,2,"[0.45878028869628906, 0.5240514278411865]",0,False,0.9880732297897339,0.9902401143504728,1.0,0.9880732297897339,31,old_L_raw,5.0,old,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,3,"[1.08746337890625, 1.9747974872589111]",0,False,0.9968931078910828,0.9624212711088119,1.0,0.9968931078910828,31,old_L_raw,5.0,old,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,4,"[0.2385544776916504, 1.2363696098327637]",0,False,0.9968966841697693,0.8895063092631679,1.0,0.9968966841697693,31,old_L_raw,5.0,old,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,0,"[0.5292251110076904, 0.39557385444641113]",0,False,0.9921243190765381,0.9950336121743725,1.0,0.9921243190765381,31,new_L_raw,13.763089123529726,new,none
rosenbrock_2D,0.0,1.0,matern52,medium,0.05,1,"[1.0305263996124268, 0.11724352836608887]",0,False,0.9735488891601562,0.8597746856750981,1.0,0.9735488891601562,31,new_L_raw,13.763089123529726,new,none
